name,desktop_location,mobile_location,img,folders,info
Peglin,%userprofile%\appdata\locallow\Red Nexus Games Inc\Peglin,com.RedNexusGamesInc.Peglin\files,peglin.png,ROOT,Peglin fully supported
Slay the Spire,C:\Program Files (x86)\Steam\steamapps\common\SlayTheSpire,com.humble.SlayTheSpire\files,slaythespire.jpg,preferences/runs/saves,Doesn't support current run
